SMILES,Linear Carbonyl,Cyclic Carbonyl,Linear Ether,Cyclic Ether,tsne_x,tsne_y
CC1CC(C)(C)C(C)O1,0,0,0,1,4.022918,-4.3590074
CC1CC(C)(C)CC1=O,0,1,0,0,-25.17147,56.79241
CC1CC(C)(C)CCO1,0,0,0,1,2.795088,-3.5777314
CC1CC(C)(C)CO1,0,0,0,1,2.318655,-3.213766
CC1CC(C)(C)OC1=O,0,1,0,0,-23.929602,56.670162
CC1CC(C)(C)OC1C,0,0,0,1,-6.519007,5.670451
CC1CC(C)(C)OCO1,0,0,0,1,5.1654577,-1.9175754
CC1CC(C)C(=O)CO1,0,1,0,0,-63.84235,22.608852
CC1CC(C)C(=O)O1,0,1,0,0,-58.909748,19.635052
CC1CC(C)C(C)(C)O1,0,0,0,1,0.3177251,4.859445
CC1CC(C)C(C)C1=O,0,1,0,0,-46.88747,32.48066
CC1CC(C)C(C)CO1,0,0,0,1,-11.349743,-28.609661
CC1CC(C)C(C)O1,0,0,0,1,-19.240486,-4.1474156
CC1CC(C)OC(=O)O1,0,1,0,0,-54.647064,19.821255
CC1CC(C)OC(C)C1,0,0,0,1,-21.11326,-7.091859
CC1CC(C)OC(C)O1,0,0,0,1,-21.445957,-7.21273
CC1CC(C)OCO1,0,0,0,1,-1.3204541,-26.966698
CC1CCC(=O)C(C)C1,0,1,0,0,-40.28108,31.18804
CC1CCC(=O)C(C)O1,0,1,0,0,-57.67094,27.460457
CC1CCC(=O)C1,0,1,0,0,-35.284084,23.594263
CC1CCC(=O)C1(C)C,0,1,0,0,-18.667856,53.801685
CC1CCC(=O)C1C,0,1,0,0,-37.226852,35.413074
CC1CCC(=O)CC1,0,1,0,0,-34.47517,24.019756
CC1CCC(=O)CC1C,0,1,0,0,-37.406643,23.309633
CC1CCC(=O)CO1,0,1,0,0,-61.801132,7.112282
CC1CCC(=O)O1,0,1,0,0,-54.89189,11.488211
CC1CCC(=O)OC1,0,1,0,0,-42.101162,12.884994
CC1CCC(=O)OC1C,0,1,0,0,-54.67597,12.979449
CC1CCC(C(C)C)O1,0,0,0,1,-15.251463,-6.373765
CC1CCC(C)(C)C1=O,0,1,0,0,-22.035772,57.527996
CC1CCC(C)(C)CO1,0,0,0,1,1.5253648,-3.1483848
CC1CCC(C)(C)O1,0,0,0,1,-2.1929235,4.7759447
CC1CCC(C)(C)OC1,0,0,0,1,4.6754837,10.317333
CC1CCC(C)C(=O)C1,0,1,0,0,-40.967037,30.13084
CC1CCC(C)C(=O)O1,0,1,0,0,-59.524746,19.929628
CC1CCC(C)C(C)O1,0,0,0,1,-16.919699,-6.034312
CC1CCC(C)C1=O,0,1,0,0,-47.582695,33.616333
CC1CCC(C)O1,0,0,0,1,-15.908606,-6.976377
CC1CCC(C)OC1,0,0,0,1,-11.216449,-27.179462
CC1CCCC(=O)C1,0,1,0,0,-35.46425,23.617397
CC1CCCC(=O)C1C,0,1,0,0,-37.833656,35.580185
CC1CCCC(=O)O1,0,1,0,0,-55.086487,11.364048
CC1CCCC(C)(C)O1,0,0,0,1,-2.06042,4.7193394
CC1CCCC(C)C1=O,0,1,0,0,-47.419594,33.520855
CC1CCCC(C)O1,0,0,0,1,-15.856716,-7.3661323
CC1CCCC1=O,0,1,0,0,-40.839462,35.614353
CC1CCCCC1=O,0,1,0,0,-40.927544,35.46764
CC1CCCCO1,0,0,0,1,-14.097971,-36.12019
CC1CCCO1,0,0,0,1,-14.116393,-36.20573
CC1CCCOC1,0,0,0,1,-25.96482,-38.870373
CC1CCCOC1(C)C,0,0,0,1,10.253709,7.4139695
CC1CCCOC1=O,0,1,0,0,-58.204655,44.357094
CC1CCCOC1C,0,0,0,1,-33.886337,-25.787725
CC1CCOC(=O)C1,0,1,0,0,-40.47018,11.781965
CC1CCOC(=O)C1C,0,1,0,0,-59.72839,43.711246
CC1CCOC(=O)O1,0,1,0,0,-49.282448,12.84237
CC1CCOC(C)(C)C1,0,0,0,1,5.5195093,10.877635
CC1CCOC(C)(C)O1,0,0,0,1,1.0681754,6.5565343
CC1CCOC(C)C1,0,0,0,1,-5.0587206,-25.184952
CC1CCOC(C)C1=O,0,1,0,0,-56.46416,34.55913
CC1CCOC(C)C1C,0,0,0,1,-33.6715,-26.797068
CC1CCOC(C)O1,0,0,0,1,-16.653952,-21.056503
CC1CCOC1,0,0,0,1,-26.375534,-39.044765
CC1CCOC1(C)C,0,0,0,1,10.526971,7.634129
CC1CCOC1=O,0,1,0,0,-58.428703,44.466965
CC1CCOC1C,0,0,0,1,-33.490322,-26.272776
CC1CCOCC1,0,0,0,1,-26.503532,-39.577026
CC1CCOCC1(C)C,0,0,0,1,7.933077,1.683522
CC1CCOCC1=O,0,1,0,0,-49.7321,39.67948
CC1CCOCC1C,0,0,0,1,-29.337318,-36.14552
CC1CCOCO1,0,0,0,1,-17.41198,-34.83889
CC1CCS(=O)(=O)C1,0,0,0,0,-33.10175,24.874409
CC1COC(=O)C(C)C1,0,1,0,0,-44.156815,14.944541
