seed,mae,mse,r2,rmse,training_time,performance_score,rank
6,0.2532024568342367,0.4098083384425427,0.9637397472755346,0.6401627437164261,60.79141712188721,0.4716441667065844,78
26,0.2712142325267511,0.3951222695810815,0.9659669086865048,0.6285875194283462,44.621445417404175,0.4697609566708389,79
25,0.27658259667266194,0.38849721736607573,0.9631513736938747,0.623295449498932,36.635249614715576,0.46923218889258084,80
72,0.269165821755222,0.397558912667947,0.9638461091873862,0.6305227296996889,54.94852352142334,0.46874513565281517,81
40,0.2586163456860202,0.4099347911231014,0.9624346786379883,0.6402615021404156,64.46081614494324,0.46745189090520195,82
5,0.27434999792935144,0.3974250277301801,0.9649421103765364,0.6304165509646619,47.668949127197266,0.46582824289984703,83
33,0.2615497207162454,0.42692528902736837,0.9614928862229111,0.6533952012582954,71.19633388519287,0.45458791290802975,84
92,0.2769783879339004,0.41218338549593925,0.962454377246519,0.6420150975607499,52.83381700515747,0.4538791645194492,85
47,0.2664124540724162,0.4267065828705694,0.9618942162542199,0.6532278185063534,62.32344341278076,0.4516577817753565,86
84,0.2728030193123052,0.4225079435710263,0.9638009188940837,0.6500061104105301,60.25997567176819,0.45077921413376687,87
37,0.26786939869464477,0.42920275332727287,0.9625872619961261,0.6551356755110141,48.89243197441101,0.44942594456027607,88
82,0.2757174738770029,0.4224992467311584,0.9614026050209936,0.6499994205621713,50.35194396972656,0.4478918613139349,89
2,0.26710742197637444,0.43249252719413384,0.9602530561566952,0.6576416404046613,70.76807069778442,0.4469671914415478,90
100,0.29151146844166204,0.41205602959053483,0.9636389355589937,0.641915905388342,35.86340117454529,0.4447911449370138,91
19,0.27771136943038605,0.4314968584010189,0.9648334188573191,0.6568842047126867,66.2294225692749,0.442379080587699,92
57,0.27044280661410114,0.43780759803009184,0.9611218390515309,0.6616703091646865,56.917479276657104,0.44182709605372167,93
76,0.26693622639598213,0.4433973470987498,0.9591291283975273,0.6658808805625446,89.53385710716248,0.4399194831409771,94
39,0.2833386111232793,0.4311747913768924,0.9619936820033348,0.6566390114643604,46.948678731918335,0.43770889310330413,95
65,0.27963679963772603,0.452950749922205,0.958342401152631,0.673016158737816,50.23352003097534,0.4253229361521204,96
31,0.2723272434853641,0.47536092649253475,0.9581002424611774,0.6894642314816155,50.12855935096741,0.41641928969519676,97
91,0.2838164241205777,0.47265134978793766,0.9594869539423795,0.6874964362001723,71.78295683860779,0.41099737235311284,98
58,0.28162895349925315,0.4950401605346344,0.9551241012700206,0.7035909042438186,51.388051986694336,0.39715628502265826,99
74,0.30148276938838386,0.49825359970600974,0.9564386272697074,0.7058708095012923,38.167283058166504,0.382575450907883,100
