k,salt,T,c,The number of atoms,The number of carbon atoms,The number of oxygen atoms,The ratio of carbon atoms to oxygen atoms,The number of rings,Molecular weight,Molecular radius,Molecular dipole moment,Average electronegativity,Average ionization energy,Average electron affinity
3.83310496,LiPF6,293.15,1.921348315,16.5,4.7,3,1.568,0.3,113.318,3.808294,2.7923,2.8981,12.1828,-1.3383
3.262263634,LiPF6,293.15,2.123595506,16.5,4.7,3,1.568,0.3,113.318,3.808294,2.7923,2.8981,12.1828,-1.3383
2.716634694,LiPF6,293.15,2.308988764,16.5,4.7,3,1.568,0.3,113.318,3.808294,2.7923,2.8981,12.1828,-1.3383
0.411111111,LiBF4,233.15,0.276773762,15.5,4.5,3,1.5,0.5,110.11,3.62889,3.2305,2.9075,12.208,-1.3405
0.433333333,LiBF4,233.15,0.354417671,15.5,4.5,3,1.5,0.5,110.11,3.62889,3.2305,2.9075,12.208,-1.3405
0.440740741,LiBF4,233.15,0.432507809,15.5,4.5,3,1.5,0.5,110.11,3.62889,3.2305,2.9075,12.208,-1.3405
0.433333333,LiBF4,233.15,0.517068273,15.5,4.5,3,1.5,0.5,110.11,3.62889,3.2305,2.9075,12.208,-1.3405
0.422222222,LiBF4,233.15,0.595716198,15.5,4.5,3,1.5,0.5,110.11,3.62889,3.2305,2.9075,12.208,-1.3405
0.411111111,LiBF4,233.15,0.674364123,15.5,4.5,3,1.5,0.5,110.11,3.62889,3.2305,2.9075,12.208,-1.3405
0.392592593,LiBF4,233.15,0.765283356,15.5,4.5,3,1.5,0.5,110.11,3.62889,3.2305,2.9075,12.208,-1.3405
0.366666667,LiBF4,233.15,0.862449799,15.5,4.5,3,1.5,0.5,110.11,3.62889,3.2305,2.9075,12.208,-1.3405
0.340740741,LiBF4,233.15,0.965640339,15.5,4.5,3,1.5,0.5,110.11,3.62889,3.2305,2.9075,12.208,-1.3405
0.314814815,LiBF4,233.15,1.080879072,15.5,4.5,3,1.5,0.5,110.11,3.62889,3.2305,2.9075,12.208,-1.3405
0.277777778,LiBF4,233.15,1.208500669,15.5,4.5,3,1.5,0.5,110.11,3.62889,3.2305,2.9075,12.208,-1.3405
0.244444444,LiBF4,233.15,1.342034806,15.5,4.5,3,1.5,0.5,110.11,3.62889,3.2305,2.9075,12.208,-1.3405
0.211111111,LiBF4,233.15,1.487617135,15.5,4.5,3,1.5,0.5,110.11,3.62889,3.2305,2.9075,12.208,-1.3405
0.177777778,LiBF4,233.15,1.645247657,15.5,4.5,3,1.5,0.5,110.11,3.62889,3.2305,2.9075,12.208,-1.3405
0.140740741,LiBF4,233.15,1.851182508,15.5,4.5,3,1.5,0.5,110.11,3.62889,3.2305,2.9075,12.208,-1.3405
0.107407407,LiBF4,233.15,2.044957608,15.5,4.5,3,1.5,0.5,110.11,3.62889,3.2305,2.9075,12.208,-1.3405
2.024390244,LiBF4,293.15,0.297889833,15.5,4.5,3,1.5,0.5,110.11,3.62889,3.2305,2.9075,12.208,-1.3405
2.195121951,LiBF4,293.15,0.383118663,15.5,4.5,3,1.5,0.5,110.11,3.62889,3.2305,2.9075,12.208,-1.3405
2.292682927,LiBF4,293.15,0.462318443,15.5,4.5,3,1.5,0.5,110.11,3.62889,3.2305,2.9075,12.208,-1.3405
2.365853659,LiBF4,293.15,0.5413812,15.5,4.5,3,1.5,0.5,110.11,3.62889,3.2305,2.9075,12.208,-1.3405
2.414634146,LiBF4,293.15,0.625924911,15.5,4.5,3,1.5,0.5,110.11,3.62889,3.2305,2.9075,12.208,-1.3405
2.43902439,LiBF4,293.15,0.70471362,15.5,4.5,3,1.5,0.5,110.11,3.62889,3.2305,2.9075,12.208,-1.3405
2.43902439,LiBF4,293.15,0.788983283,15.5,4.5,3,1.5,0.5,110.11,3.62889,3.2305,2.9075,12.208,-1.3405
2.414634146,LiBF4,293.15,0.889969855,15.5,4.5,3,1.5,0.5,110.11,3.62889,3.2305,2.9075,12.208,-1.3405
2.365853659,LiBF4,293.15,0.990819403,15.5,4.5,3,1.5,0.5,110.11,3.62889,3.2305,2.9075,12.208,-1.3405
